   No.   	Time N (s)	Depth N (µm)	Force N (mN)
  455	   95.706	     0.24248	    -0.01961
  456	   95.909	     0.22100	    -0.01388
  457	   96.112	     0.20189	    -0.01402
  458	   96.315	     0.18139	    -0.01358
  459	   96.502	     0.16208	    -0.00613
  460	   96.705	     0.14096	    -0.00936
  461	   96.907	     0.12120	    -0.01036
  462	   97.110	     0.10223	    -0.01198
  463	   97.313	     0.08104	    -0.01452
  464	   97.516	     0.06069	    -0.00257
  465	   97.703	     0.04034	    -0.00157
  466	   97.906	     0.02115	    -0.00745
  467	   98.109	     0.00044	    -0.00935
  468	   98.311	     0.01615	    -0.01381	18	Load
  469	   98.514	     0.03857	    -0.00239
  470	   98.701	     0.05827	    -0.00682
  471	   98.904	     0.07960	    -0.00671
  472	   99.107	     0.09875	    -0.00237
  473	   99.310	     0.11826	    -0.00322
  474	   99.513	     0.13808	    -0.00135
  475	   99.700	     0.15833	    -0.00802
  476	   99.903	     0.17720	     0.00269
  477	  100.105	     0.19812	    -0.00394
  478	  100.308	     0.21882	     0.00088
  479	  100.511	     0.23834	    -0.00081
  480	  100.714	     0.25798	    -0.00257
  481	  100.901	     0.27968	    -0.00132
  482	  101.104	     0.29907	     0.00167
  483	  101.307	     0.32004	     0.00073
  484	  101.509	     0.33924	     0.00675
  485	  101.712	     0.35909	    -0.00448
  486	  101.915	     0.38066	     0.00761
  487	  102.102	     0.39747	     0.00575
  488	  102.305	     0.41816	    -0.00425
  489	  102.508	     0.43990	     0.00550
  490	  102.711	     0.45886	     0.00368
  491	  102.913	     0.47889	     0.00510
  492	  103.101	     0.49996	     0.00833
  493	  103.303	     0.51921	     0.01216
  494	  103.506	     0.53987	     0.01249
  495	  103.709	     0.55914	     0.00211
  496	  103.912	     0.57803	     0.01290
  497	  104.115	     0.59296	     0.12126
  498	  104.302	     0.60419	     0.40280
  499	  104.505	     0.61908	     1.03976
  500	  104.707	     0.63445	     1.74705
  501	  104.910	     0.64682	     2.54059
  502	  105.113	     0.65894	     3.49731
  503	  105.316	     0.67681	     4.62924
  504	  105.503	     0.69169	     5.73286
  505	  105.706	     0.71103	     6.92332
  506	  105.909	     0.72811	     8.14097
  507	  106.111	     0.74957	     9.24314
  508	  106.314	     0.76768	    10.29674
  509	  106.501	     0.82439	    10.89480
  510	  106.704	     0.85721	    10.05696
  511	  106.907	     0.85553	     9.91519
  512	  107.110	     0.86646	    10.25471
  513	  107.313	     0.87996	    10.16099	19	Unload
  514	  107.515	     0.87347	     9.36716
  515	  107.703	     0.86073	     8.33695
  516	  107.905	     0.84360	     7.08760
  517	  108.108	     0.82964	     5.82536
  518	  108.311	     0.81045	     4.56342
  519	  108.514	     0.79033	     3.27605
  520	  108.701	     0.77164	     2.14594
  521	  108.904	     0.74605	     1.11924
  522	  109.107	     0.72160	     0.26348
  523	  109.309	     0.68048	     0.02022
  524	  109.512	     0.66184	     0.01820
  525	  109.715	     0.64120	     0.00751
